id,sku,title,game_title,description,price,game_id,game_SKU
0,398123801818,Hat,golden clam,a hat for golden clam,7.5,1000238,132304402752
1,381795885667,Sunglasses,conceptual cobweb,sunglasses for conceptual cobweb,15.0,1000150,186880256583
2,359318743577,Sunglasses,safe constant,sunglasses for safe constant,15.0,1000025,175211439308
3,368884401089,Hat,olympic jot,a hat for olympic jot,7.5,1000171,187071644897
4,368265996890,Hat,global son,a hat for global son,7.5,1000061,182893602000
5,333563357464,Shirt,liberal spinach,A shirt for liberal spinach,10.0,1000020,141628768843
6,351265923801,Shirt,outdoor fiber,A shirt for outdoor fiber,10.0,1000187,140424601038
7,384802521530,Sunglasses,fluffy particle,sunglasses for fluffy particle,15.0,1000182,158374508511
8,384346789752,Shirt,mammoth shortwave,A shirt for mammoth shortwave,10.0,1000027,134548331917
9,372801441675,Sunglasses,liable greenhouse,sunglasses for liable greenhouse,15.0,1000194,105698185919
10,380140431212,Shirt,promising title,A shirt for promising title,10.0,1000174,182232002232
11,356343659039,Shirt,distinctive poisoning,A shirt for distinctive poisoning,10.0,1000239,156648609351
12,391717790316,Socks,western scheme,socks for western scheme,5.0,1000255,132701307689
13,307706983348,Sunglasses,post-war skywalk,sunglasses for post-war skywalk,15.0,1000124,112178744448
14,381192634036,Sunglasses,elaborate feet,sunglasses for elaborate feet,15.0,1000049,183469851670
15,371768029424,Shirt,ideal balance,A shirt for ideal balance,10.0,1000050,191286644937
16,301566524305,Sunglasses,fierce chin,sunglasses for fierce chin,15.0,1000091,199615289033
17,399902164361,Hat,dual cactus,a hat for dual cactus,7.5,1000167,142903893220
18,346304910029,Shirt,territorial fear,A shirt for territorial fear,10.0,1000008,165916459929
19,328636514815,Shirt,universal rabbi,A shirt for universal rabbi,10.0,1000052,195379816961
20,367512096160,Sunglasses,silent thought,sunglasses for silent thought,15.0,1000243,148412458084
21,322117063041,Socks,unconscious congresswoman,socks for unconscious congresswoman,5.0,1000156,133652714825
22,376006796654,Hat,comfortable pancreas,a hat for comfortable pancreas,7.5,1000144,155941819723
23,370461789065,Shirt,planned casserole,A shirt for planned casserole,10.0,1000168,164540429977
24,305702508275,Sunglasses,brilliant dame,sunglasses for brilliant dame,15.0,1000056,158834124173
